Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
5160,1145,1005,14.5,45.7,33.0224261,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
6150,938,615,21.8,61,26.04994903,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
6150,670,415,23,48.4,19.07747197,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
6150,1200,1160,14.5,48.2,34.08766565,0.505,0.95,97.4075,0.8,,,0.035,0.225,0.04,,,,,,,0.15
1340,834,558,22,63,24.01630989,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
1340,703,434,25.5,57,20.04587156,0.155,,99.35,0.45,,,0.04,,0.05,,,,,,,
4130,670,435,25.5,59.5,19.07747197,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4130,560,460,21.5,59.6,21.01427115,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4130,1040,979,18.1,63.9,29.24566769,0.305,0.95,97.625,0.5,,,0.035,0.225,0.04,0.2,,,,,,
4140,1020,655,17.7,46.8,29.24566769,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,655,915,25.7,56.9,19.07747197,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,1075,986,15.5,56.9,30.11722732,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1160,731,11.7,30.8,31.08562691,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,731,380,20.2,40.2,19.07747197,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1310,1215,13.5,47.2,36.31498471,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4320,793,460,20.8,51,22.75739042,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
