Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
1055,650.0,355.0,12.0,30.0,18.59327217,0.55,,98.655,0.75,,,0.04,,0.05,,,,,,,
1055,660.0,560.0,10.0,40.0,19.07747197,0.55,,98.655,0.75,,,0.04,,0.05,,,,,,,
1060,675.0,370.0,12.0,30.0,19.4648318,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1060,620.0,485.0,10.0,45.0,17.72171254,0.605,,98.6,0.75,,,0.04,,0.05,,,,,,,
1064,670.0,370.0,12.0,30.0,19.4648318,0.65,,98.655,0.65,,,0.04,,0.05,,,,,,,
1064,615.0,475.0,10.0,45.0,17.72171254,0.65,,98.655,0.65,,,0.04,,0.05,,,,,,,
1065,690.0,380.0,12.0,30.0,20.04587156,0.65,,98.555,0.75,,,0.04,,0.05,,,,,,,
1065,635.0,490.0,10.0,45.0,18.10907238,0.65,,98.555,0.75,,,0.04,,0.05,,,,,,,
1070,705.0,385.0,12.0,30.0,20.53007136,0.7,,98.505,0.75,,,0.04,,0.05,,,,,,,
1070,640.0,495.0,10.0,45.0,18.59327217,0.7,,98.505,0.75,,,0.04,,0.05,,,,,,,
1074,725.0,400.0,12.0,30.0,21.01427115,0.75,,98.555,0.65,,,0.04,,0.05,,,,,,,
1074,650.0,505.0,10.0,40.0,18.59327217,0.75,,98.555,0.65,,,0.04,,0.05,,,,,,,
1078,690.0,380.0,12.0,30.0,20.04587156,0.785,,98.72,0.45,,,0.04,,0.05,,,,,,,
1078,650.0,500.0,10.0,40.0,18.59327217,0.785,,98.72,0.45,,,0.04,,0.05,,,,,,,
1080,770.0,425.0,10.0,25.0,22.17635066,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1080,675.0,515.0,10.0,40.0,18.59327217,0.815,,98.39,0.75,,,0.04,,0.05,,,,,,,
1084,820.0,450.0,10.0,25.0,23.33843017,0.865,,98.34,0.75,,,0.04,,0.05,,,,,,,
1084,690.0,530.0,10.0,40.0,18.59327217,0.865,,98.34,0.75,,,0.04,,0.05,,,,,,,
1085,835.0,460.0,10.0,25.0,24.01630989,0.875,,98.23,0.85,,,0.04,,0.05,,,,,,,
1085,695.0,540.0,10.0,40.0,18.59327217,0.875,,98.23,0.85,,,0.04,,0.05,,,,,,,
1086,770.0,425.0,10.0,25.0,22.17635066,0.865,,98.69,0.4,,,0.04,,0.05,,,,,,,
1086,670.0,510.0,10.0,40.0,18.59327217,0.865,,98.69,0.4,,,0.04,,0.05,,,,,,,
1090,840.0,460.0,10.0,25.0,24.01630989,0.915,,98.29,0.75,,,0.04,,0.05,,,,,,,
1090,695.0,540.0,10.0,40.0,19.07747197,0.915,,98.29,0.75,,,0.04,,0.05,,,,,,,
1095,825.0,455.0,10.0,25.0,24.01630989,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1095,680.0,525.0,10.0,40.0,19.07747197,0.965,,98.59,0.4,,,0.04,,0.05,,,,,,,
1211,380.0,230.0,25.0,45.0,11.71763507,0.13,,98.965,0.75,,,0.095,,0.125,,,,,,,
1211,515.0,400.0,10.0,35.0,15.78491335,0.13,,98.965,0.75,,,0.095,,0.125,,,,,,,
1212,385.0,230.0,25.0,45.0,11.71763507,0.13,,98.795,0.85,,,0.095,,0.195,,,,,,,
1212,540.0,415.0,10.0,35.0,16.17227319,0.13,,98.795,0.85,,,0.095,,0.195,,,,,,,
1213,385.0,230.0,25.0,45.0,11.71763507,0.13,,98.705,0.85,,,0.095,,0.285,,,,,,,
1213,540.0,415.0,10.0,35.0,16.17227319,0.13,,98.705,0.85,,,0.095,,0.285,,,,,,,
12L14,395.0,235.0,22.0,45.0,11.71763507,0.15,,98.305,1.0,,,0.065,,0.305,,,,,,0.25,
12L14,540.0,415.0,10.0,35.0,15.78491335,0.15,,98.305,1.0,,,0.065,,0.305,,,,,,0.25,
1108,345.0,190.0,30.0,50.0,9.780835882,0.105,,99.12,0.65,,,0.04,,0.105,,,,,,,
1108,385.0,325.0,20.0,40.0,11.71763507,0.105,,99.12,0.65,,,0.04,,0.105,,,,,,,
1117,425.0,235.0,23.0,47.0,11.71763507,0.17,,98.555,1.15,,,0.04,,0.105,,,,,,,
1117,475.0,400.0,15.0,40.0,13.26707441,0.17,,98.555,1.15,,,0.04,,0.105,,,,,,,
1118,450.0,250.0,23.0,47.0,12.68603466,0.17,,98.255,1.45,,,0.04,,0.105,,,,,,,
1118,495.0,420.0,15.0,40.0,13.84811417,0.17,,98.255,1.45,,,0.04,,0.105,,,,,,,
1119,425.0,235.0,23.0,47.0,11.71763507,0.17,,98.375,1.15,,,0.04,,0.285,,,,,,,
1119,475.0,400.0,15.0,40.0,13.26707441,0.17,,98.375,1.15,,,0.04,,0.285,,,,,,,
1132,570.0,315.0,16.0,40.0,16.17227319,0.305,,98.07,1.5,,,0.04,,0.105,,,,,,,
1132,635.0,530.0,12.0,35.0,17.72171254,0.305,,98.07,1.5,,,0.04,,0.105,,,,,,,
1137,605.0,330.0,15.0,35.0,17.3343527,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1137,675.0,565.0,10.0,30.0,19.07747197,0.355,,98.02,1.5,,,0.04,,0.105,,,,,,,
1140,545.0,300.0,16.0,40.0,15.10703364,0.405,,98.62,0.85,,,0.04,,0.105,,,,,,,
1140,605.0,510.0,12.0,35.0,16.46279307,0.405,,98.62,0.85,,,0.04,,0.105,,,,,,,
1141,650.0,355.0,15.0,35.0,18.10907238,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1141,725.0,605.0,10.0,30.0,20.53007136,0.41,,97.965,1.5,,,0.04,,0.105,,,,,,,
1144,670.0,365.0,15.0,35.0,19.07747197,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1144,745.0,620.0,10.0,30.0,21.01427115,0.44,,97.755,1.5,,,0.04,,0.285,,,,,,,
1146,585.0,325.0,15.0,40.0,16.46279307,0.455,,98.57,0.85,,,0.04,,0.105,,,,,,,
1146,650.0,550.0,12.0,35.0,18.10907238,0.455,,98.57,0.85,,,0.04,,0.105,,,,,,,
1151,635.0,350.0,15.0,35.0,18.10907238,0.515,,98.51,0.85,,,0.04,,0.105,,,,,,,
