Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V",YS/TS ratio
1021,420.0,230.0,24.0,48.0,11.23343527,0.2,0.0,99.005,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477
1021,470.0,395.0,15.0,40.0,12.68603466,0.2,0.0,99.005,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404255319148937
1022,425.0,235.0,23.0,47.0,11.71763507,0.2,0.0,98.905,0.85,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5529411764705883
1022,475.0,400.0,15.0,40.0,13.26707441,0.2,0.0,98.905,0.85,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947
1023,385.0,215.0,25.0,50.0,10.74923547,0.22,0.0,99.285,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5584415584415584
1023,425.0,360.0,15.0,40.0,11.71763507,0.22,0.0,99.285,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470588235294118
1524,510.0,285.0,20.0,42.0,14.42915392,0.22,0.0,98.235,1.5,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588235294117647
1524,565.0,475.0,12.0,35.0,15.78491335,0.22,0.0,98.235,1.5,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8407079646017699
1025,400.0,220.0,25.0,50.0,11.23343527,0.25,0.0,99.255,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
1025,440.0,370.0,15.0,40.0,12.20183486,0.25,0.0,99.255,0.45,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909
1026,440.0,240.0,24.0,49.0,12.20183486,0.25,0.0,98.955,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454
1527,490.0,415.0,15.0,40.0,13.84811417,0.255,0.0,98.35,1.35,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8469387755102041
1527,515.0,285.0,18.0,40.0,14.42915392,0.255,0.0,98.35,1.35,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533980582524272
1527,570.0,485.0,12.0,35.0,15.78491335,0.255,0.0,98.35,1.35,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508771929824561
1030,470.0,260.0,20.0,42.0,13.26707441,0.305,0.0,98.9,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531914893617021
1030,525.0,440.0,12.0,35.0,14.42915392,0.305,0.0,98.9,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8380952380952381
