Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa)
4820,681.2,464,22.3,58.8,19.0696
5140,792.9,472.3,22.7,59.2,22.1672
5140,572.3,293,28.6,57.3,16.1656
5150,870.8,529.5,20.7,58.7,24.684
5150,675.7,357.1,22,43.7,19.0696
5160,957,530.9,17.5,44.8,26.0392
5160,722.6,275.8,17.2,30.6,19.0696
6150,939.8,615.7,21.8,61,26.0392
6150,667.4,412.3,23,48.4,19.0696
8620,632.9,357.1,26.3,59.7,17.7144
1137,627.4,379.2,28,61,18.5856
1137,668.8,396.4,22.5,48.5,19.0696
1137,584.7,344.7,26.8,53.9,16.8432
1141,675.7,358.5,22,38,18.5856
1141,706.7,405.4,22.7,55.5,19.4568
1141,598.5,353,25.5,49.3,15.7784
1144,703.3,420.6,21,41,20.5216
1144,667.4,399.9,21,40.4,19.0696
1144,584.7,346.8,24.8,41.3,16.1656
1340,836.3,558.5,22,62.9,24.0064
1340,703.3,436.4,25.5,57.3,20.0376
3140,891.5,599.8,19.7,57.3,25.3616
3140,689.5,422.6,24.5,50.8,19.0696
4130,668.8,436.4,25.5,59.5,19.0696
4130,560.5,360.6,28.2,55.6,15.1008
1050,723.9,413.7,20,40,22.1672
1050,748.1,427.5,20,39.4,21.0056
1050,636,365.4,23.7,39.9,18.1016
1060,813.6,482.6,17,34,23.3288
1060,775.7,420.6,18,37.2,22.1672
1060,625.7,372.3,22.5,38.2,17.3272
1080,965.3,586.1,12,17,28.3624
1080,1010.1,524,11,20.6,28.3624
1080,615.4,375.8,24.7,45,16.8432
1095,965.3,572.3,9,18,28.3624
1095,1013.5,499.9,9.5,13.5,28.3624
1095,656.7,379.2,13,20.6,18.5856
1117,486.8,305.4,33,63,13.8424
1117,467.1,303.4,33.5,63.8,13.2616
1117,429.5,279.2,32.8,58,11.7128
1118,521.2,316.5,32,70,14.4232
1118,477.8,319.2,33.5,65.9,13.8424
1118,450.2,284.8,34.5,66.8,12.6808
1015,420.6,313.7,39,61,12.1968
1015,424,324.1,37,69.6,11.7128
1015,386.1,284.4,37,69.7,10.7448
1020,448.2,330.9,36,59,13.8424
1020,441.3,346.5,35.8,67.9,12.6808
1020,394.7,294.8,36.5,66,10.7448
1022,503.3,358.5,35,67,14.4232
1022,482.6,358.5,34,67.5,13.8424
1022,429.2,317.2,35,63.6,13.2616
1030,551.6,344.7,32,57,17.3272
1030,520.6,344.7,32,60.8,14.4232
1030,463.7,341.3,31.2,57.9,12.1968
1040,620.5,413.7,25,50,19.4568
1040,589.5,374,28,54.9,16.456
1040,518.8,353.4,30.2,57.2,14.4232
