Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa)
4620,570.0,365.0,29.0,66.7,16.85015291
4620,510.0,370.0,31.3,60.3,14.42915392
4820,758.0,485.0,24.0,59.2,22.17635066
4820,685.0,460.0,22.3,58.8,19.07747197
5140,793.0,470.0,22.7,59.2,22.17635066
5140,570.0,290.0,28.6,57.3,16.17227319
5140,972.0,841.0,18.5,58.9,28.37410805
5150,869.0,530.0,20.7,58.7,24.6941896
5150,675.0,360.0,22.0,43.7,19.07747197
5150,1055.0,1000.0,16.4,52.9,30.11722732
5160,1025.0,650.0,18.2,50.7,27.59938838
5160,724.0,275.0,17.2,30.6,19.07747197
5160,1145.0,1005.0,14.5,45.7,33.0224261
6150,938.0,615.0,21.8,61.0,26.04994903
6150,670.0,415.0,23.0,48.4,19.07747197
6150,1200.0,1160.0,14.5,48.2,34.08766565
1340,834.0,558.0,22.0,63.0,24.01630989
1340,703.0,434.0,25.5,57.0,20.04587156
3140,889.0,600.0,19.7,57.0,25.37206932
3140,690.0,420.0,24.5,51.0,19.07747197
4130,670.0,435.0,25.5,59.5,19.07747197
4130,560.0,460.0,21.5,59.6,21.01427115
4130,1040.0,979.0,18.1,63.9,29.24566769
4140,1020.0,655.0,17.7,46.8,29.24566769
4140,655.0,915.0,25.7,56.9,19.07747197
4140,1075.0,986.0,15.5,56.9,30.11722732
4150,1160.0,731.0,11.7,30.8,31.08562691
4150,731.0,380.0,20.2,40.2,19.07747197
4150,1310.0,1215.0,13.5,47.2,36.31498471
4320,793.0,460.0,20.8,51.0,22.75739042
4320,580.0,425.0,29.0,58.0,15.78491335
4340,1282.0,862.0,12.2,36.3,35.1529052
4340,745.0,470.0,22.0,50.0,21.01427115
414,795.0,620.0,20.0,60.0,22.75739042
414,895.0,795.0,15.0,58.0,26.14678899
420,655.0,345.0,25.0,55.0,18.88379205
420,760.0,690.0,14.0,40.0,22.0795107
431,860.0,655.0,20.0,55.0,25.1783894
431,895.0,760.0,15.0,35.0,26.14678899
440C,860.0,690.0,7.0,20.0,25.1783894
440C,1970.0,1900.0,2.0,10.0,56.16717635
4140,1020.4,655.0,17.7,46.8,29.2336
4140,655.0,417.1,25.7,56.9,19.0696
4150,1154.9,734.3,11.7,30.8,31.0728
4150,729.5,379.2,20.2,40.2,19.0696
4320,792.9,464.0,20.8,50.7,22.748
4320,579.2,609.5,29.0,58.4,15.7784
4340,1279.0,861.8,12.2,36.3,35.1384
4340,744.6,472.3,22.0,49.9,21.0056
4620,574.3,366.1,29.0,66.7,16.8432
4620,512.3,372.3,31.3,60.3,14.4232
4820,75.0,484.7,24.0,59.2,22.1672
4820,681.2,464.0,22.3,58.8,19.0696
5140,792.9,472.3,22.7,59.2,22.1672
5140,572.3,293.0,28.6,57.3,16.1656
5150,870.8,529.5,20.7,58.7,24.684
5150,675.7,357.1,22.0,43.7,19.0696
5160,957.0,530.9,17.5,44.8,26.0392
5160,722.6,275.8,17.2,30.6,19.0696
6150,939.8,615.7,21.8,61.0,26.0392
6150,667.4,412.3,23.0,48.4,19.0696
8620,632.9,357.1,26.3,59.7,17.7144
1137,627.4,379.2,28.0,61.0,18.5856
1137,668.8,396.4,22.5,48.5,19.0696
1137,584.7,344.7,26.8,53.9,16.8432
1141,675.7,358.5,22.0,38.0,18.5856
1141,706.7,405.4,22.7,55.5,19.4568
1141,598.5,353.0,25.5,49.3,15.7784
1144,703.3,420.6,21.0,41.0,20.5216
1144,667.4,399.9,21.0,40.4,19.0696
1144,584.7,346.8,24.8,41.3,16.1656
1340,836.3,558.5,22.0,62.9,24.0064
1340,703.3,436.4,25.5,57.3,20.0376
3140,891.5,599.8,19.7,57.3,25.3616
3140,689.5,422.6,24.5,50.8,19.0696
4130,668.8,436.4,25.5,59.5,19.0696
4130,560.5,360.6,28.2,55.6,15.1008
1050,723.9,413.7,20.0,40.0,22.1672
1050,748.1,427.5,20.0,39.4,21.0056
1050,636.0,365.4,23.7,39.9,18.1016
1060,813.6,482.6,17.0,34.0,23.3288
1060,775.7,420.6,18.0,37.2,22.1672
1060,625.7,372.3,22.5,38.2,17.3272
1080,965.3,586.1,12.0,17.0,28.3624
1080,1010.1,524.0,11.0,20.6,28.3624
1080,615.4,375.8,24.7,45.0,16.8432
1095,965.3,572.3,9.0,18.0,28.3624
1095,1013.5,499.9,9.5,13.5,28.3624
1095,656.7,379.2,13.0,20.6,18.5856
1117,486.8,305.4,33.0,63.0,13.8424
1117,467.1,303.4,33.5,63.8,13.2616
1117,429.5,279.2,32.8,58.0,11.7128
1118,521.2,316.5,32.0,70.0,14.4232
1118,477.8,319.2,33.5,65.9,13.8424
1118,450.2,284.8,34.5,66.8,12.6808
1015,420.6,313.7,39.0,61.0,12.1968
1015,424.0,324.1,37.0,69.6,11.7128
1015,386.1,284.4,37.0,69.7,10.7448
1020,448.2,330.9,36.0,59.0,13.8424
1020,441.3,346.5,35.8,67.9,12.6808
1020,394.7,294.8,36.5,66.0,10.7448
1022,503.3,358.5,35.0,67.0,14.4232
1022,482.6,358.5,34.0,67.5,13.8424
1022,429.2,317.2,35.0,63.6,13.2616
1030,551.6,344.7,32.0,57.0,17.3272
1030,520.6,344.7,32.0,60.8,14.4232
1030,463.7,341.3,31.2,57.9,12.1968
1040,620.5,413.7,25.0,50.0,19.4568
1040,589.5,374.0,28.0,54.9,16.456
1040,518.8,353.4,30.2,57.2,14.4232
